Year,Organization Group,Job Family,Job,Salaries,Overtime,Other Salaries,Total Salary
2011,General Administration & Finance,Management,Dept Head II,174410.02,0,0,174410.02
1999,"Public Works, Transportation & Commerce",Street Transit,"Manager VIII, MTA",174410,0,0,174410
2012,General Administration & Finance,Management,Dept Head II,174410,0,0,174410
2017,Public Protection,Police Services,Police Officer 2,118067.3,43960.69,12381.32,174409.31
1998,Public Protection,Police Services,Police Officer 3,122957.17,47640.2,3811.74,174409.11
2012,"Public Works, Transportation & Commerce",Management,Manager VII,174403.81,0,0,174403.81
2016,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,89755.5,78845.01,5801.47,174401.98
2009,Community Health,Nursing,Registered Nurse,141844.75,230.78,32321.96,174397.49
2010,Public Protection,Police Services,Police Officer,113242.5,37435.82,23716.81,174395.13
2003,Public Protection,Police Services,Police Officer 3,123462.52,42295.19,8636.89,174394.6
1998,Public Protection,Police Services,Sergeant 3,139592.06,16408.18,18393.23,174393.47
2017,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130229.91,27112.25,17050.79,174392.95
1992,Public Protection,Police Services,Sergeant 3,138281.45,21450.27,14660.03,174391.75
2014,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),172588,0,1800.2,174388.2
2000,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,174385.37,0,0,174385.37
2009,Culture & Recreation,Construction Project Mgmt,Project Manager 3,174385.36,0,0,174385.36
2010,"Public Works, Transportation & Commerce",Construction Project Mgmt,Project Manager 3,174385.35,0,0,174385.35
1992,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,174385.35,0,0,174385.35
2009,"Public Works, Transportation & Commerce",Professional Engineering,Engineer,174385.35,0,0,174385.35
2005,"Public Works, Transportation & Commerce",Professional Engineering,Assoc Engineer,174385.34,0,0,174385.34
2005,"Public Works, Transportation & Commerce",Professional Engineering,Engineer,174385.32,0,0,174385.32
2009,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,174385.32,0,0,174385.32
2008,"Public Works, Transportation & Commerce",Professional Engineering,Assoc Engineer,174385.32,0,0,174385.32
2008,"Public Works, Transportation & Commerce",Professional Engineering,Engineer,174385.32,0,0,174385.32
2015,"Public Works, Transportation & Commerce",Professional Engineering,Engineer,174385.31,0,0,174385.31
2009,"Public Works, Transportation & Commerce",Construction Project Mgmt,Project Manager 3,174385.31,0,0,174385.31
1999,"Public Works, Transportation & Commerce",Professional Engineering,Assoc Engineer,174385.31,0,0,174385.31
2000,"Public Works, Transportation & Commerce",Construction Project Mgmt,Project Manager 3,174385.3,0,0,174385.3
2002,"Public Works, Transportation & Commerce",Professional Engineering,Engineer,174385.3,0,0,174385.3
1999,"Public Works, Transportation & Commerce",Professional Engineering,Engineer,174385.3,0,0,174385.3
2013,Public Protection,Police Services,Police Officer 3,123075.1,32664.14,18642.83,174382.07
2006,Public Protection,Police Services,Sergeant 3,137982.1,25506.76,10891.24,174380.1
1995,"Public Works, Transportation & Commerce",Management,Manager VI,173973.31,0,395.71,174369.02
2007,Community Health,Medical & Dental,Supervising Physician Spec,169252.41,0,5110,174362.41
1995,Public Protection,Fire Services,EMT/Paramedic/Firefighter,153200.58,11370.63,9788.32,174359.53
1997,Public Protection,Police Services,Police Officer 3,128650.49,39565.28,6140.24,174356.01
2005,General Administration & Finance,Management,Manager V,174349.78,0,0,174349.78
1998,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,161658.4,11309.85,1379.37,174347.62
2004,Community Health,Nursing,Registered Nurse,155003.05,0,19338.7,174341.75
2017,Public Protection,Police Services,Sergeant 3,140566,32943.26,829.23,174338.49
2008,Public Protection,Fire Services,Firefighter,112703.71,42755.7,18872.45,174331.86
1996,Community Health,Nursing,Registered Nurse,147761.1,0,26570.25,174331.35
1996,Public Protection,Police Services,Police Officer 3,122934.23,43794.86,7599.12,174328.21
2004,Community Health,Nursing,Nurse Manager,169656.75,0,4663.6,174320.35
2015,Public Protection,Police Services,Lieutenant 3,157612,2486.4,14221.43,174319.83
2010,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,174316.73,0,0,174316.73
1997,Human Welfare & Neighborhood Development,Management,Dep Dir III,174304.05,0,0,174304.05
2003,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,87977.33,76737.03,9589.69,174304.05
1995,Public Protection,Police Services,Police Officer 3,121133.35,23914.56,29255.31,174303.22
2000,Human Welfare & Neighborhood Development,Legal & Court,Attorney (Civil/Criminal),172588.06,0,1707.74,174295.8
2011,Community Health,Nursing,Special Nurse,140529.23,6082.42,27682.2,174293.85
1998,Community Health,Nursing,Registered Nurse,140847.42,2575.39,30870.48,174293.29
1995,Public Protection,Fire Services,"Captain, Emergency Med Svcs",149667.72,654.2,23967.25,174289.17
1993,Public Protection,Fire Services,"Lieutenant, Fire Suppression",149511.94,10201.87,14575.35,174289.16
1992,Community Health,Nursing,Registered Nurse,134234.18,3123.48,36931.13,174288.79
2010,Public Protection,Fire Services,Firefighter,113827.04,42074.23,18384.17,174285.44
1993,Public Protection,Correction & Detention,Senior Deputy Sheriff,93665,61985.17,18633.52,174283.69
2009,Public Protection,Police Services,Sergeant 3,141733.44,17197.04,15352.88,174283.36
2012,Culture & Recreation,Management,Dep Dir III,174278.95,0,0,174278.95
2008,Public Protection,Police Services,Police Officer 3,123016.15,37765.25,13492.5,174273.9
2006,"Public Works, Transportation & Commerce",Management,Manager VI,174273.09,0,0,174273.09
2004,General Administration & Finance,Management,Manager III,165037.53,9232.93,0,174270.46
1995,Public Protection,Police Services,Police Officer 3,122486.18,44082.82,7700.65,174269.65
2016,Public Protection,Police Services,Sergeant 3,142825.57,21750.59,9692.93,174269.09
2007,Public Protection,Police Services,Lieutenant 3,155755.5,343.36,18167.43,174266.29
2012,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),172588.05,0,1667.39,174255.44
2013,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),172588.04,0,1667.4,174255.44
2015,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),172588.04,0,1667.39,174255.43
2007,Community Health,Nursing,Nurse Manager,158414.01,0,15841.4,174255.41
1996,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),172588.01,0,1667.39,174255.4
2012,Public Protection,Fire Services,Firefighter,100537.8,55690.32,18023.9,174252.02
2004,Public Protection,Correction & Detention,Sheriff's Captain,147556.44,8180.59,18513.29,174250.32
2001,Public Protection,Police Services,Police Officer 3,123970.13,39867.76,10411.36,174249.25
2002,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),172809.34,0,1437.5,174246.84
2000,Community Health,Nursing,Nurse Practitioner,166008,0,8235.64,174243.64
1995,Public Protection,Fire Services,Firefighter,113766.99,42493.64,17981.11,174241.74
1999,Public Protection,Police Services,Sergeant 2,112904.95,34876.6,26459.64,174241.19
2010,Public Protection,Police Services,Sergeant 3,143289.7,14543.1,16407.64,174240.44
2011,Public Protection,Fire Services,Firefighter,111826.56,44243.59,18169.22,174239.37
1994,Public Protection,Fire Services,"Lieutenant, Fire Suppression",130961.04,26137.65,17136.03,174234.72
2010,Public Protection,Fire Services,Firefighter,116099.52,40552.83,17581.04,174233.39
1999,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,174223.22,0,0,174223.22
2005,Public Protection,Police Services,Police Officer 3,123938.52,40521.96,9762.04,174222.52
1993,Public Protection,Police Services,Sergeant 3,142415.4,14806.32,17000.53,174222.25
2004,Public Protection,Police Services,Sergeant 3,138579.12,24007.98,11632.76,174219.86
2005,Public Protection,Police Services,Police Officer 3,30867.91,90.88,143238.62,174197.41
2016,"Public Works, Transportation & Commerce",Professional Engineering,Eng/Arch/Landscape Arch Sr,160839.66,0,13347.24,174186.9
1993,Human Welfare & Neighborhood Development,Legal & Court,Attorney (Civil/Criminal),172746.93,0,1437.5,174184.43
2017,Public Protection,Police Services,Sergeant 3,144408.64,5254.79,24520.23,174183.66
2005,Public Protection,Police Services,Sergeant 3,137982.04,27991.26,8202.8,174176.1
2000,Public Protection,Fire Services,Firefighter,114900.88,45017.02,14253.43,174171.33
2016,General Administration & Finance,Management,Manager V,174164.91,0,0,174164.91
1992,Public Protection,Police Services,Police Officer 3,119069.64,39900.51,15194.14,174164.29
2012,Public Protection,Fire Services,"Lieut,Fire Prev",122092,28080.74,23990.36,174163.1
1999,Public Protection,Correction & Detention,Sheriff's Lieutenant,134472.6,10833.01,28857.33,174162.94
2014,"Public Works, Transportation & Commerce",Public Safety Inspection,Plumbing Inspector,118816.96,11812.73,43529.66,174159.35
2002,General Administration & Finance,Management,Manager V,174159.26,0,0,174159.26
2006,Community Health,"Lab, Pharmacy & Med Techs",Clinical Pharmacist,162850.71,4456.54,6849.6,174156.85
2016,"Public Works, Transportation & Commerce",Management,Manager IV,174147.89,0,0,174147.89
2002,Public Protection,Police Services,Lieutenant 3,162053.41,4491.12,7600.95,174145.48
2012,"Public Works, Transportation & Commerce",Street Transit,Transit Supervisor,88062,79210.74,6872.25,174144.99
2015,Public Protection,Fire Services,Firefighter,113155.88,49779.43,11201.58,174136.89
2009,Public Protection,Police Services,Sergeant 3,138645.58,31027.75,4461.69,174135.02
2007,Community Health,Nursing,Registered Nurse,138208.6,0,35924.68,174133.28
2012,Public Protection,Fire Services,"Lieutenant, Fire Suppression",138434.51,12123.07,23573.53,174131.11
2011,Community Health,Nursing,Registered Nurse,137441.05,435.19,36248.85,174125.09
2006,Human Welfare & Neighborhood Development,Legal & Court,Attorney (Civil/Criminal),172588.01,0,1535.1,174123.11
2013,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),172588.05,0,1534.59,174122.64
1997,"Public Works, Transportation & Commerce",Management,Engineer/Architect Principal,174121.82,0,0,174121.82
2001,"Public Works, Transportation & Commerce",Management,Engineer/Architect Principal,174121.81,0,0,174121.81
2007,"Public Works, Transportation & Commerce",Management,Engineer/Architect Principal,174121.81,0,0,174121.81
2016,"Public Works, Transportation & Commerce",Management,Engineer/Architect Principal,174121.8,0,0,174121.8
2016,"Public Works, Transportation & Commerce",Management,Engineer/Architect Principal,174121.8,0,0,174121.8
1992,"Public Works, Transportation & Commerce",Management,Engineer/Architect Principal,174121.8,0,0,174121.8
2011,"Public Works, Transportation & Commerce",Management,Engineer/Architect Principal,174121.8,0,0,174121.8
1998,General Administration & Finance,Management,Special Assistant 19,174121.8,0,0,174121.8
1997,"Public Works, Transportation & Commerce",Management,Engineer/Architect Principal,174121.8,0,0,174121.8
2011,"Public Works, Transportation & Commerce",Public Safety Inspection,Heating/Ventilating Inspector,84858.3,81674.77,7583.02,174116.09
2004,Public Protection,Police Services,Police Officer 3,126573.56,37741.95,9797.4,174112.91
2014,"Public Works, Transportation & Commerce",Journeyman Trade,Maintenance Machinist,89940.63,65116.48,19047.99,174105.1
1996,Community Health,Nursing,Registered Nurse,138736.1,0,35368.83,174104.93
2002,Public Protection,Police Services,Sergeant 3,141256.88,21919.47,10928.43,174104.78
1998,Community Health,Nursing,Nurse Manager,174104.5,0,0,174104.5
1997,Public Protection,Fire Services,"Lieutenant, Fire Suppression",133632.43,17732.83,22738.38,174103.64
2005,General Administration & Finance,Legal & Court,Attorney (Civil/Criminal),169766.89,0,4333.12,174100.01
2010,Public Protection,Fire Services,EMT/Paramedic/Firefighter,130113.22,28324.2,15659.78,174097.2
2007,Public Protection,Police Services,Police Officer 2,121470.67,39591.87,13031.6,174094.14
2016,"Public Works, Transportation & Commerce",Management,Engineer/Architect Principal,174090.3,0,0,174090.3
2007,"Public Works, Transportation & Commerce",Airport Operation,Airport Electrician,108232.84,55736.09,10120,174088.93
2005,Public Protection,Police Services,"Inspector, (Police Department)",146470.8,14055.42,13562.29,174088.51
1999,Public Protection,Correction & Detention,Senior Deputy Sheriff,116405.9,37580.75,20101.18,174087.83
2006,Public Protection,Legal & Court,Attorney (Civil/Criminal),172585.13,0,1500,174085.13
2010,"Public Works, Transportation & Commerce",Journeyman Trade,"Electrl Trnst Mech, Asst Sprv",93344.2,50939.81,29797.33,174081.34
2017,Public Protection,Police Services,Sergeant 2,137271.72,1490.32,35318.51,174080.55
1999,General Administration & Finance,Management,Dep Dir III,174063.72,0,0,174063.72
1999,Public Protection,Fire Services,Firefighter,113827.04,40834.16,19392.38,174053.58
1999,Community Health,Management,Manager IV,174053.31,0,0,174053.31
2003,Community Health,"Lab, Pharmacy & Med Techs",Supervising Pharmacist,172699.1,0,1350,174049.1
2008,Public Protection,Fire Services,Firefighter,111640.49,43701.49,18702.67,174044.65
1999,Public Protection,Police Services,Police Officer 3,118326.58,41880.31,13835.95,174042.84
2001,Community Health,Nursing,Nurse Manager,153152.13,0,20890.5,174042.63
1993,Public Protection,Correction & Detention,Deputy Sheriff,105098.86,55588.43,13349.73,174037.02
2011,Public Protection,Correction & Detention,Deputy Sheriff,104620.99,56805.57,12608.75,174035.31
1997,Community Health,"Lab, Pharmacy & Med Techs",Supervising Pharmacist,172680.65,0,1350,174030.65
1996,"Public Works, Transportation & Commerce",Information Systems,IS Engineer-Principal,159133.17,0,14893.45,174026.62
1997,"Public Works, Transportation & Commerce",Professional Engineering,Architectural Associate 2,174025.53,0,0,174025.53
2004,"Public Works, Transportation & Commerce",Street Transit,"Manager VI, MTA",174019.1,0,0,174019.1
2008,Public Protection,Police Services,Lieutenant 3,158771.93,5906.18,9335.32,174013.43
1993,General Administration & Finance,Management,Mayoral Staff XVII,174012.79,0,0,174012.79
2004,Public Protection,Police Services,Sergeant 3,137550.85,31338.23,5122.98,174012.06
1993,Public Protection,Fire Services,Firefighter,113220.44,36044.93,24746.66,174012.03
2002,Public Protection,Police Services,Lieutenant 3,161405.97,1953.57,10646.38,174005.92
1995,Community Health,Nursing,Nurse Practitioner,171038.82,0,2965.62,174004.44
1992,Public Protection,Correction & Detention,Sheriff's Captain,151402.01,0,22600.99,174003
2002,Public Protection,Fire Services,Firefighter,116099.53,38297.54,19605.5,174002.57
2002,Public Protection,Fire Services,Firefighter,113827.04,37488.62,22686.31,174001.97
